alg#	n	max so far	clock_ticks (1000000/sec)	sec
alg 1	10	 2.7109	        4	 0.0000
alg 2	10	 3.5063	        0	 0.0000
alg 22	10	 0.8161	        1	 0.0000
alg 3	10	 1.3802	        2	 0.0000
alg 4	10	 0.8546	        0	 0.0000
alg 42	10	 1.9946	        0	 0.0000
alg 43	10	 1.2983	        1	 0.0000
alg 1	20	 1.7175	        7	 0.0000
alg 2	20	 2.5674	        3	 0.0000
alg 22	20	 5.1731	        2	 0.0000
alg 3	20	 1.4950	        2	 0.0000
alg 4	20	 3.4152	        0	 0.0000
alg 42	20	 3.8421	        0	 0.0000
alg 43	20	 1.2827	        2	 0.0000
alg 1	50	 2.1962	       90	 0.0001
alg 2	50	 5.3802	        6	 0.0000
alg 22	50	 4.7168	        7	 0.0000
alg 3	50	 4.0093	        6	 0.0000
alg 4	50	 7.3280	        1	 0.0000
alg 42	50	 6.7470	        0	 0.0000
alg 43	50	 4.0775	        2	 0.0000
alg 1	100	 7.7330	      649	 0.0006
alg 2	100	 4.9550	       21	 0.0000
alg 22	100	 6.0570	       26	 0.0000
alg 3	100	 7.9877	       13	 0.0000
alg 4	100	 3.8169	        1	 0.0000
alg 42	100	 7.8138	        2	 0.0000
alg 43	100	 8.3872	        2	 0.0000
alg 1	200	 7.5237	     4957	 0.0050
alg 2	200	12.1899	       83	 0.0001
alg 22	200	 8.2191	       98	 0.0001
alg 3	200	 6.9672	       27	 0.0000
alg 4	200	11.3569	        2	 0.0000
alg 42	200	18.9374	        4	 0.0000
alg 43	200	 8.0980	        4	 0.0000
alg 1	500	23.5600	    85428	 0.0854
alg 2	500	 7.5592	      524	 0.0005
alg 22	500	15.6729	      596	 0.0006
alg 3	500	17.5493	       70	 0.0001
alg 4	500	 5.4409	        3	 0.0000
alg 42	500	13.0219	        5	 0.0000
alg 43	500	14.2730	       10	 0.0000
alg 1	1000	26.8488	   695016	 0.6950
alg 2	1000	13.8673	     2006	 0.0020
alg 22	1000	12.4000	     2440	 0.0024
alg 3	1000	37.7534	      142	 0.0001
alg 4	1000	40.1992	        7	 0.0000
alg 42	1000	18.6592	       10	 0.0000
alg 43	1000	20.5879	       19	 0.0000
alg 1	2000	35.6806	  5382247	 5.3822
alg 2	2000	32.0767	     9684	 0.0097
alg 22	2000	34.7797	     9721	 0.0097
alg 3	2000	32.3179	      260	 0.0003
alg 4	2000	57.4469	       12	 0.0000
alg 42	2000	18.7858	       18	 0.0000
alg 43	2000	18.5399	       34	 0.0000
alg 1	5000	25.5175	 81372405	81.3724
alg 2	5000	52.7373	    66581	 0.0666
alg 22	5000	30.3587	    76748	 0.0767
alg 3	5000	48.3084	      786	 0.0008
alg 4	5000	51.1569	       36	 0.0000
alg 42	5000	23.6419	       53	 0.0001
alg 43	5000	30.3313	      107	 0.0001
