alg#	n	numtests	rotdist	clock_ticks (1000000/sec)	nanosec/elem
alg 1	    100	    10	    10	      16	        16
alg 2	    100	    10	    10	      11	        11
alg 22	    100	    10	    10	      11	        11
alg 3	    100	    10	    10	       1	         1
alg 4	    100	    10	    10	       1	         1
alg 1	    200	    10	    10	      25	      12.5
alg 2	    200	    10	    10	      22	        11
alg 22	    200	    10	    10	      22	        11
alg 3	    200	    10	    10	       1	       0.5
alg 4	    200	    10	    10	       1	       0.5
alg 1	   1000	    10	    10	     127	      12.7
alg 2	   1000	    10	    10	     109	      10.9
alg 22	   1000	    10	    10	     112	      11.2
alg 3	   1000	    10	    10	       8	       0.8
alg 4	   1000	    10	    10	       8	       0.8
alg 1	   2000	    10	    10	     244	      12.2
alg 2	   2000	    10	    10	     221	     11.05
alg 22	   2000	    10	    10	     213	     10.65
alg 3	   2000	    10	    10	      14	       0.7
alg 4	   2000	    10	    10	      15	      0.75
alg 1	  10000	    10	    10	    1231	     12.31
alg 2	  10000	    10	    10	    1259	     12.59
alg 22	  10000	    10	    10	    1345	     13.45
alg 3	  10000	    10	    10	      65	      0.65
alg 4	  10000	    10	    10	      73	      0.73
alg 1	  20000	    10	    10	    2459	      12.3
alg 2	  20000	    10	    10	    2271	     11.36
alg 22	  20000	    10	    10	    2375	     11.88
alg 3	  20000	    10	    10	     174	      0.87
alg 4	  20000	    10	    10	     180	       0.9
alg 1	  50000	    10	    10	    6413	     12.83
alg 2	  50000	    10	    10	    6598	      13.2
alg 22	  50000	    10	    10	    6073	     12.15
alg 3	  50000	    10	    10	     451	     0.902
alg 4	  50000	    10	    10	     446	     0.892
alg 1	 100000	    10	    10	   13032	     13.03
alg 2	 100000	    10	    10	   13054	     13.05
alg 22	 100000	    10	    10	   12729	     12.73
alg 3	 100000	    10	    10	    1027	     1.027
alg 4	 100000	    10	    10	    1068	     1.068
alg 1	1000000	    10	    10	  133621	     13.36
alg 2	1000000	    10	    10	  128363	     12.84
alg 22	1000000	    10	    10	  120167	     12.02
alg 3	1000000	    10	    10	    7354	    0.7354
alg 4	1000000	    10	    10	   10243	     1.024
