alg#	n	numtests	clock_ticks (1000000/sec)	nanosec/elem
alg 1	100	10	140	140
alg 2	100	10	95	95
alg 3	100	10	98	98
alg 4	100	10	115	115
alg 8	100	10	140	140
alg 1	200	10	196	98
alg 2	200	10	198	99
alg 3	200	10	193	96.5
alg 4	200	10	220	110
alg 8	200	10	335	167.5
alg 1	500	10	630	126
alg 2	500	10	569	113.8
alg 3	500	10	602	120.4
alg 4	500	10	643	128.6
alg 8	500	10	979	195.8
alg 1	1000	10	1333	133.3
alg 2	1000	10	1320	132
alg 3	1000	10	1251	125.1
alg 4	1000	10	892	89.2
alg 8	1000	10	1964	196.4
alg 1	2000	10	2613	130.65
alg 2	2000	10	2804	140.2
alg 3	2000	10	2851	142.55
alg 4	2000	10	2620	131
alg 8	2000	10	4257	212.85
alg 1	5000	10	7530	150.6
alg 2	5000	10	7985	159.7
alg 3	5000	10	8778	175.56
alg 4	5000	10	8517	170.34
alg 8	5000	10	14920	298.4
alg 1	10000	10	17056	170.56
alg 2	10000	10	16754	167.54
alg 3	10000	10	15588	155.88
alg 4	10000	10	16846	168.46
alg 8	10000	10	27154	271.54
alg 1	20000	10	36507	182.535
alg 2	20000	10	34406	172.03
alg 3	20000	10	38177	190.885
alg 4	20000	10	35174	175.87
alg 8	20000	10	59636	298.18
alg 1	50000	10	109870	219.74
alg 2	50000	10	110609	221.218
alg 3	50000	10	120576	241.152
alg 4	50000	10	123735	247.47
alg 8	50000	10	216997	433.994
alg 21	10	10	5	50
alg 22	10	10	4	40
alg 23	10	10	3	30
alg 21	20	10	10	50
alg 22	20	10	11	55
alg 23	20	10	8	40
alg 21	50	10	48	96
alg 22	50	10	44	88
alg 23	50	10	31	62
alg 21	100	10	153	153
alg 22	100	10	139	139
alg 23	100	10	96	96
alg 21	200	10	557	278.5
alg 22	200	10	518	259
alg 23	200	10	332	166
alg 21	500	10	3308	661.6
alg 22	500	10	3295	659
alg 23	500	10	2184	436.8
alg 21	1000	10	14014	1401.4
alg 22	1000	10	12766	1276.6
alg 23	1000	10	7303	730.3
alg 21	2000	10	62606	3130.3
alg 22	2000	10	54401	2720.05
alg 23	2000	10	47049	2352.45
alg 21	5000	10	388728	7774.56
alg 22	5000	10	394081	7881.62
alg 23	5000	10	241649	4832.98
